# year, O3_pH
1976.0409836065573,8.134248
1976.122950819672,8.105766
1976.204918032787,8.089094
1976.2868852459017,8.0856
1976.3715846994535,8.104014
1976.4535519125684,8.125012
1976.5382513661202,8.144282
1976.622950819672,8.159115
1976.704918032787,8.1707325
1976.7896174863388,8.17718
1976.8715846994535,8.166278
1976.9562841530055,8.157607
1977.041095890411,8.146973
1977.1205479452055,8.136506
1977.2027397260274,8.126861
1977.2849315068493,8.127006
1977.3698630136987,8.151977
1977.4520547945206,8.161461
1977.5369863013698,8.1797285
1977.6219178082192,8.188108
1977.704109589041,8.181305
1977.7890410958903,8.174127
1977.8712328767124,8.191329
1977.9561643835616,8.191121
1978.041095890411,8.169848
1978.1205479452055,8.15235
1978.2027397260274,8.133043
1978.2849315068493,8.132426
1978.3698630136987,8.150422
1978.4520547945206,8.171403
1978.5369863013698,8.187285
1978.6219178082192,8.193478
1978.704109589041,8.194141
1978.7890410958903,8.192589
1978.8712328767124,8.194717
1978.9561643835616,8.191602
1979.041095890411,8.179287
1979.1205479452055,8.157439
1979.2027397260274,8.140655
1979.2849315068493,8.136037
1979.3698630136987,8.150144
1979.4520547945206,8.167347
1979.5369863013698,8.176288
1979.6219178082192,8.178138
1979.704109589041,8.179921
1979.7890410958903,8.174941
1979.8712328767124,8.184406
1979.9561643835616,8.180705
1980.0409836065573,8.164073
1980.122950819672,8.140681
1980.204918032787,8.11803
1980.2868852459017,8.10953
1980.3715846994535,8.123828
1980.4535519125684,8.147761
1980.5382513661202,8.170385
1980.622950819672,8.17768
1980.704918032787,8.181405
1980.7896174863388,8.182117
1980.8715846994535,8.182042
1980.9562841530055,8.179299
1981.041095890411,8.167322
1981.1205479452055,8.143723
1981.2027397260274,8.122834
1981.2849315068493,8.115316
1981.3698630136987,8.1224165
1981.4520547945206,8.138557
1981.5369863013698,8.156984
1981.6219178082192,8.16878
1981.704109589041,8.175447
1981.7890410958903,8.176643
1981.8712328767124,8.179975
1981.9561643835616,8.182759
1982.041095890411,8.170059
1982.1205479452055,8.146881
1982.2027397260274,8.1253605
1982.2849315068493,8.12236
1982.3698630136987,8.134712
1982.4520547945206,8.147496
1982.5369863013698,8.163356
1982.6219178082192,8.174024
1982.704109589041,8.17098
1982.7890410958903,8.171594
1982.8712328767124,8.178113
1982.9561643835616,8.182835
1983.041095890411,8.175071
1983.1205479452055,8.154511
1983.2027397260274,8.134229
1983.2849315068493,8.128484
1983.3698630136987,8.135809
1983.4520547945206,8.150729
1983.5369863013698,8.164123
1983.6219178082192,8.176329
1983.704109589041,8.171896
1983.7890410958903,8.167254
1983.8712328767124,8.178747
1983.9561643835616,8.189378
1984.0409836065573,8.188425
1984.122950819672,8.177314
1984.204918032787,8.162673
1984.2868852459017,8.147057
1984.3715846994535,8.144916
1984.4535519125684,8.148572
1984.5382513661202,8.159333
1984.622950819672,8.169517
1984.704918032787,8.169932
1984.7896174863388,8.173396
1984.8715846994535,8.174472
1984.9562841530055,8.190332
1985.041095890411,8.188764
1985.1205479452055,8.170655
1985.2027397260274,8.15226
1985.2849315068493,8.137646
1985.3698630136987,8.145668
1985.4520547945206,8.156716
1985.5369863013698,8.169901
1985.6219178082192,8.185855
1985.704109589041,8.179918
1985.7890410958903,8.178236
1985.8712328767124,8.191084
1985.9561643835616,8.193295
1986.041095890411,8.178118
1986.1205479452055,8.149446
1986.2027397260274,8.128177
1986.2849315068493,8.108296
1986.3698630136987,8.117541
1986.4520547945206,8.137936
1986.5369863013698,8.149256
1986.6219178082192,8.157986
1986.704109589041,8.161507
1986.7890410958903,8.161961
1986.8712328767124,8.176548
1986.9561643835616,8.181934
1987.041095890411,8.17948
1987.1205479452055,8.160039
1987.2027397260274,8.13896
1987.2849315068493,8.1279545
1987.3698630136987,8.128763
1987.4520547945206,8.1492815
1987.5369863013698,8.168656
1987.6219178082192,8.176045
1987.704109589041,8.17764
1987.7890410958903,8.173102
1987.8712328767124,8.169479
1987.9561643835616,8.175589
1988.0409836065573,8.175561
1988.122950819672,8.150685
1988.204918032787,8.121712
1988.2868852459017,8.112849
1988.3715846994535,8.128093
1988.4535519125684,8.139253
1988.5382513661202,8.153167
1988.622950819672,8.1670475
1988.704918032787,8.161205
1988.7896174863388,8.152544
1988.8715846994535,8.158199
1988.9562841530055,8.172468
1989.041095890411,8.174228
1989.1205479452055,8.150902
1989.2027397260274,8.12454
1989.2849315068493,8.117198
1989.3698630136987,8.1281595
1989.4520547945206,8.142332
1989.5369863013698,8.156808
1989.6219178082192,8.16592
1989.704109589041,8.155545
1989.7890410958903,8.152606
1989.8712328767124,8.157194
1989.9561643835616,8.172142
1990.041095890411,8.167843
1990.1205479452055,8.152485
1990.2027397260274,8.135149
1990.2849315068493,8.121664
1990.3698630136987,8.120382
1990.4520547945206,8.134968
1990.5369863013698,8.146082
1990.6219178082192,8.156588
1990.704109589041,8.163934
1990.7890410958903,8.160535
1990.8712328767124,8.151595
1990.9561643835616,8.160208
1991.041095890411,8.155349
1991.1205479452055,8.134452
1991.2027397260274,8.120022
1991.2849315068493,8.101796
1991.3698630136987,8.108476
1991.4520547945206,8.122757
1991.5369863013698,8.139034
1991.6219178082192,8.154588
1991.704109589041,8.156388
1991.7890410958903,8.156282
1991.8712328767124,8.163715
1991.9561643835616,8.169575
1992.0409836065573,8.158289
1992.122950819672,8.137073
1992.204918032787,8.118
1992.2868852459017,8.106734
1992.3715846994535,8.123067
1992.4535519125684,8.142185
1992.5382513661202,8.1583805
1992.622950819672,8.167567
1992.704918032787,8.166593
1992.7896174863388,8.162426
1992.8715846994535,8.170725
1992.9562841530055,8.174702
1993.041095890411,8.163616
1993.1205479452055,8.142792
1993.2027397260274,8.117617
1993.2849315068493,8.106605
1993.3698630136987,8.110246
1993.4520547945206,8.12405
1993.5369863013698,8.137541
1993.6219178082192,8.146381
1993.704109589041,8.14923
1993.7890410958903,8.147209
1993.8712328767124,8.153189
1993.9561643835616,8.15269
1994.041095890411,8.137237
1994.1205479452055,8.120933
1994.2027397260274,8.100753
1994.2849315068493,8.091282
1994.3698630136987,8.113258
1994.4520547945206,8.132579
1994.5369863013698,8.142463
1994.6219178082192,8.151624
1994.704109589041,8.146435
1994.7890410958903,8.143143
1994.8712328767124,8.156807
1994.9561643835616,8.155919
1995.041095890411,8.151111
1995.1205479452055,8.136213
1995.2027397260274,8.118811
1995.2849315068493,8.098755
1995.3698630136987,8.101319
1995.4520547945206,8.116931
1995.5369863013698,8.134023
1995.6219178082192,8.146151
1995.704109589041,8.154048
1995.7890410958903,8.151765
1995.8712328767124,8.146222
1995.9561643835616,8.14984
1996.0409836065573,8.145471
1996.122950819672,8.121302
1996.204918032787,8.107085
1996.2868852459017,8.098573
1996.3715846994535,8.108475
1996.4535519125684,8.12186
1996.5382513661202,8.132984
1996.622950819672,8.1396055
1996.704918032787,8.145602
1996.7896174863388,8.142182
1996.8715846994535,8.1421385
1996.9562841530055,8.136318
1997.041095890411,8.114735
1997.1205479452055,8.084578
